关键词,微博内容,微博地址
细胞,#未来大猜想2020#【#路痴是怎样的一种体验#？是怎样形成的？看诺奖得主揭秘！】字典里好像永远没有“方向”这个词；只知道前后左右，搞不懂南北东西…你知道吗？“路痴”或许不是你的错！几位诺奖得主就发现了构建大脑定位系统的细胞，梳理出大脑内置的“GPS”机制，发现了关于“路痴”的科学原理。看视频↓长知识！#世界顶尖科学家论坛# L央视新闻的微博视频 收起全文d,https://weibo.com/2656274875/JrtjMtmZM?refer_flag=1001030103_
细胞,#实力科普##涨知识#心脏为什么能成为癌细胞禁地那是因为它的结构，根本不给癌细胞落脚之地 L一周科普君的微博视频,https://weibo.com/6183820675/JrscEoUG0?refer_flag=1001030103_
细胞,【生命接力！#女大学生捐造血干细胞救9岁患者#】26日，福建泉州，22岁女生徐梅琴在福建医科大学附属协和医院成功捐献造血干细胞，为一名9岁的白血病患者重燃生命之光，成为福建省第272例非亲缘关系造血干细胞捐献者。采集完成后，她表示要参加31日学校教师资格证考试。(泉州网)O22岁女大学生捐造血干细胞救助9岁白血病患者,https://weibo.com/2286908003/JrxNJEBU0?refer_flag=1001030103_
细胞,☀️你们记住，不要再吃活的东西，少吃荤腥。我已经跟你们讲了多少遍，科学家都化验出来人的身体是碱性体质的，不会生癌症。☀️查出来所有生癌症、肿瘤的全部都是酸性体质，酸性体质的人全部是吃荤的。️长期吃素的人，他的身体是碱性体质，至少不容易让癌细胞在身上激活。,https://weibo.com/3392795674/JrN3ogfuv?refer_flag=1001030103_
细胞,这也太好笑了哈哈哈哈哈哈！！“他们说在星空下，再没有浪漫细胞的人也能感受到恋爱的气氛……”“可是晚上就看不清画板了啊……”因为实际上，真正没有浪漫细胞的木头人根本不会出现在星空下哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！,https://weibo.com/2849382283/JrN330XpQ?refer_flag=1001030103_
细胞,我真的不能再神通广大了求求了你他妈个逼滚回你妈子宫重新细胞分裂下看看到底有没有脑组织吧,https://weibo.com/5384190199/JrN2X5fsZ?refer_flag=1001030103_
细胞,为什么不去参与双十一，因为要算，伤脑细胞，不如留着明天下午数学周考,https://weibo.com/5151200859/JrN2tznj9?refer_flag=1001030103_
细胞,脑细胞都要死光了 2泰州,https://weibo.com/2631046853/JrN1Dz04i?refer_flag=1001030103_
细胞,周洁琼救命额 以前只是路好 今天偶然遇到 完全被plmm惊艳到了！！她被小小吓到的时候 我全身细胞都在咆哮着：妈妈 我恋爱了！！,https://weibo.com/6217283454/JrMFhD4CQ?refer_flag=1001030103_
细胞,#小众宝藏旅行地#我是一个没有艺术细胞的人😍 O绿洲,https://weibo.com/1635071640/JrN1h3mgs?refer_flag=1001030103_
细胞,#教资#我本人 裸考高中生物教资 除了科二对完答案基本没啥差错150如果改得松差不多能有125+的水平 科一科三什么鬼 尤其科一简直偏难怪 科三考了一大堆必修三的东西重点光和呼吸有丝减数细胞器免疫啥也没考 怀疑出题人水平.....不过反正也是考着玩高中的 毕竟我有初中的证,https://weibo.com/5286538696/JrN1ddRUS?refer_flag=1001030103_
