关键词,微博内容,微博地址
生态,【整齐又震撼！#四川绵阳学生齐跳川剧操#】10月28日，四川绵阳外国语实验学校，5000名学生在操场上齐跳川剧操，动作整齐划一，看起来非常震撼。学校老师表示，蜀戏面临传承的生态危机，为了让小孩不忘记这个艺术瑰宝，特意与绵阳市非遗中心创编这一融合川剧动作的川剧操。L人民视频的微博视频,https://weibo.com/2803301701/JrDoGeJDV?refer_flag=1001030103_
生态,#聚焦十九届五中全会#【#十四五中国经济社会发展目标# 转！中国加油！】国家发改委副主任、国家统计局局长宁吉喆：①经济发展取得新成效，现代化经济体系建设取得重大进展；②改革开放迈出新步伐，更高水平开放型经济新体制基本形成；③社会文明程度得到新提高；④生态文明建设实现新进步；⑤民生福祉达到新水平；⑥国家治理能得到新提升，社会主义民主法制更加健全。 L央视新闻的微博视频 收起全文d,https://weibo.com/2656274875/JryNv9WwD?refer_flag=1001030103_
生态,#WWF中国40周年# 在WWF来华开展保护工作40周年之际，我们收到了并肩作战的老友们发来的贺信。回首过往点点滴滴，我们深感保护之路绝非一蹴而就，生态环境建设瞩目成就的背后，凝聚着一代代环保人的智慧与汗水。生态保护依然任重道远，为了一个生生不息的地球，为了人与自然和谐相处的美好未来，我们会继续努力，不辱使命！戳视频，与熊猫君和老友们一起了解WWF在中国这40年来的保护之路吧！ LWWF世界自然基金会的微博视频 收起全文d,https://weibo.com/1702771281/JrqPJAM91?refer_flag=1001030103_
生态,【盐湖区：开展专项整治 守护绿水青山】为深入贯彻习近平总书记生态文明思想和视察山西重要讲话重要指示，坚决贯彻落实省委、市委决策部署，盐湖区重拳出击、多措并举，在南、北两山开展安全隐患大排查、生态修复、森林草原防灭火以及私搭乱建专项整治工作，坚决遏制生态破坏和环境污染问题，促进经济社会可持续发展。 L盐湖融媒的微博视频 收起全文d,https://weibo.com/7137756389/JrN2788F3?refer_flag=1001030103_
生态,7.19，周日，清弦朗读大会每周都需要有新作品，并通过微信点赞上榜。图2、3:今天参加了社会实践，生态城枫叶学校举办的国学朗读大会。图4:美术宝作品—多彩的气球。,https://weibo.com/5451623636/JrN1LazFE?refer_flag=1001030103_
生态,好家伙，国家地理！//@中国国家地理:奇妙的联动增加了 黄龙以钙华池奇景闻名，但鲜为人知的是，由于其相对封闭的地理环境，使得黄龙成为了拥有丰富动植物资源和冰川资源的天然宝库。感谢中国国家地理专家、中科院植物所孙海芹老师的专业解读。,https://weibo.com/1694061470/JrLQ6CoOx?refer_flag=1001030103_
生态,看看波卡生态做的热火朝天，波卡背后的团队和web3基金会对生态各个项目的支持力度，BM你就不脸红吗？【BM：EOS可以整合为平行链】针对刚刚BM询问网友选择波卡而非EOS的原因，网友FrancoMocke称，Polkadot有平行链（parachain）的概念，EOS的问题在于所有衍生品都是完全独立的。BM对此回复称，我的理解是EOS可以整合为平行链。#比特币# 波卡 #区块链# 收起全文d,https://weibo.com/2493693514/JrN0ifqtH?refer_flag=1001030103_
生态,#Uzi什么时候复出#TheShy改变了lpl上单的对线生态乌兹刚退役一年lpl的ad就不会对线了他大概是被网暴最多的职业选手了还复出个锤子在国外选手解说眼中最强的ad在我们这就是洗澡狗捡灯笼坠机罢了复出个锤子,https://weibo.com/6131227209/JrMYpw8A5?refer_flag=1001030103_
生态,全面建成小康社会“百城千县万村调研行”丨以绿为底，勾描美丽“钱景”——天津北辰走好生态富民路 O全面建成小康社会“百城千县万村调研行”丨以绿为底，勾描美丽“钱景”——天津北辰走好生态富民路,https://weibo.com/6387480100/JrMZT42Cs?refer_flag=1001030103_
生态,从来不追购物节的小梁，这次决定熬夜了，买了三瓶黑胡椒酱，买了三个拖把，还没告诉妈妈拿快递，自己生活才知道衣食住行都需要点点滴滴，看直播给家里买了套定制的沙发垫子🛋️，幸亏我还记得家里的沙发尺寸寄到高碑店让奶奶换上，给🐶多多买了两件衣服寄到姑姑家，给爸爸妈妈买了很多东西，生态城最近看图真的好漂亮，🍁🍁要不是最近要赶课程进度还有很重要的事情一定周末回家住两天，唯独自己没决定买啥，不行了，希思黎，卡拉泡泡，小白瓶🐛摆脱妈妈赠送的后套盒，决定用日系护肤品了，一会一定要抢到，看了一个小众双肩，等等还有半个小时，我就有新的小书包背了，囤了很多眼镜和护理液，今天必须还要给阿俊贡献一下人气👗，对了，有一款情侣卫衣真好看，看看算了，两件买才合算，从来都是有需要才买的小梁这次要囤一点东西了，不过还是保持着理性消费我真是太恋家了，可怎么办呀 收起全文d,https://weibo.com/6609062389/JrMZr4atv?refer_flag=1001030103_
